Secteur,Aéroports et services aux aéroports,Pétrole et gaz (conventionnel et non conventionnel) ,Produits chimiques,Tous les autres secteurs,Traitement et élimination des déchets,Grand Total
Alberta,10,56,25,4,16,111
Colombie-Britannique,9,7,3,3,6,28
Île-du-Prince-Édouard,1,,,,,1
Manitoba,1,,2,4,1,8
Nouveau-Brunswick,4,,1,,,5
Nouvelle-Écosse,4,3,,,,7
Ontario,12,1,19,18,10,60
Québec,2,1,8,19,4,34
Saskatchewan,5,2,3,3,1,14
Terre-Neuve-et-Labrador,5,4,1,4,,14
Territoires du Nord-Ouest,1,,,,,1
Yukon,1,,,,,1
Grand Total,55,74,62,55,38,284
